245,51:08.885N,002:42.741W,0F,T,GLA,Glastonbury*Z50
246,51:52.502N,002:16.069W,0F,T,GLO,Gloucester W*Z50
247,51:48.251N,002:15.887W,0F,T,GLS,Gloucester S*Z50
248,50:54.055N,000:44.800W,100F,AT,GWD,Goodwd 122.45*Z100
249,53:45.201N,000:46.309W,0F,T,GOO,Goole*Z50
250,51:30.698N,001:07.680W,0F,T,GOR,Goring*Z50
251,52:17.387N,000:17.179W,0F,T,GRW,Grafham Water*Z50
252,52:11.179N,000:06.674W,254F,AT,GRL,Gransden Lodge*Z100
253,52:53.844N,000:39.875W,0F,T,GRA,Grantham*Z50
254,54:04.231N,002:00.264W,0F,T,GRS,Grassington*Z50
255,52:17.340N,002:21.417W,0F,T,GTW,Great Witley*Z50
256,52:07.502N,002:19.147W,0F,T,GRM,Great Malvern*Z50
257,52:15.425N,000:56.150E,0F,T,GRF,Great Ashfield*Z50
259,54:32.712N,001:02.522W,0F,T,GUI,Guisborough*Z50
260,53:12.424N,003:44.838W,0F,AT,HAF,Haffotty Bennett*Z100
261,50:52.736N,000:13.930E,0F,T,HAI,Hailsham*Z50
262,51:15.607N,002:43.765W,870F,AT,HAD,Halesland*Z100
263,52:20.900N,001:30.270E,0F,T,HAE,Halesworth*Z50
264,52:41.543N,002:58.145W,0F,T,HWH,Halfway House*Z50
265,51:47.215N,000:44.198W,370F,AT,HAL,Halton*Z100
266,51:14.527N,000:40.860E,0F,AT,HRR,Harrietsham*Z100
267,54:02.216N,001:33.888W,0F,T,HAN,Harrogate North*Z50
268,50:58.132N,000:53.099W,0F,T,HAR,Harting*Z50
269,50:53.418N,000:33.279E,0F,T,HAS,Hastings*Z50
270,50:49.123N,004:04.417W,0F,T,HAT,Hatherleigh*Z50
271,50:52.563N,001:00.797W,0F,T,HVT,Havant*Z50
272,52:05.078N,000:26.225E,0F,AT,HAV,Haverhill*Z100
273,54:18.246N,002:12.224W,0F,T,HSE,Hawes*Z50
274,55:26.114N,002:45.153W,0F,T,HAK,Hawick*Z50
275,51:02.835N,000:30.569E,0F,T,HAW,Hawkhurst*Z50
276,52:04.577N,003:07.663W,0F,T,HAY,Hay-On-Wye*Z50
277,54:14.639N,001:03.521W,0F,T,HLM,Helmsley*Z50
278,53:23.579N,000:32.857W,0F,AT,HEM,Hemswell*Z100
279,52:00.984N,000:18.104W,170F,AT,HEN,Henlo 121.10*Z100
280,50:58.772N,002:23.877W,0F,T,HES,Henstridge*Z50
281,52:03.249N,002:42.944W,0F,T,HEC,Hereford Cath*Z50
282,52:04.514N,002:43.323W,0F,T,HER,Hereford R/C*Z50
283,50:52.163N,000:20.333E,0F,T,HCX,Herstmonceux*Z50
284,54:59.038N,002:07.489W,0F,T,HEX,Hexham*Z50
285,51:55.114N,001:17.974W,0F,T,HEY,Heyford Station*Z50
286,52:30.900N,001:21.687W,0F,T,HIC,Hinckley*Z50
287,52:01.800N,001:12.308W,500F,AT,HIN,Hinton I-T Hedges*Z100
288,50:48.404N,004:20.984W,0F,T,HOL,Holsworthy*Z50
289,52:05.815N,001:48.953W,0F,T,HOB,Honeybourne*Z50
290,50:48.137N,003:11.937W,0F,T,HON,Honiton*Z50
291,53:12.460N,000:06.891W,0F,T,HOR,Horncastle*Z50
292,53:00.876N,001:14.628W,0F,AT,HUC,Hucknall*Z100
293,51:31.551N,002:08.508W,343F,AT,HUL,Hullavington*Z100
294,53:41.994N,000:26.953W,0F,T,HUM,Humber Bridge*Z50
295,51:24.914N,001:30.939W,0F,T,HUN,Hungerford*Z50
296,51:27.172N,001:28.972W,0F,T,HNN,Hungerford North*Z50
297,51:16.568N,001:27.182W,0F,T,HUR,Hurstbourne Tarrant*Z50
